"scalematesUrl"," brand","brandCatno","name","scale","description","boxartUrl","year"
"/kits/mpc-round2-eagle-transporter--1217150","MPC/Round2","","Eagle Transporter","72","New tool","https://www.scalemates.com/products/img/1/5/0/1217150-11789-65","2019"
"/kits/orange-house-2070-ligier-js23-1984-brazil-gp--1217118","Orange House","2070","Ligier JS23 1984 Brazil GP","20","New tool","https://www.scalemates.com/products/img/1/1/8/1217118-51480-37","2019"
"/kits/orange-house-2071-ligier-js23-1984-france-gp--1217116","Orange House","2071","Ligier JS23 1984 France GP","20","New tool","https://www.scalemates.com/products/img/1/1/6/1217116-51480-79","2019"
"/kits/scalelab-24-sl01-010-22-sh-hr-wheels--1217316","ScaleLab_24","SL01-010","22" SH_HR wheels","24","New tool","https://www.scalemates.com/products/img/3/1/6/1217316-51542-96","2018"
"/kits/scalelab-24-sl02-011-photo-etch-manhole-and-drain-cover--1217314","ScaleLab_24","SL02-011","Photo etch manhole & drain cover","24","New tool","https://www.scalemates.com/products/img/3/1/4/1217314-51542-25","2019"
"/kits/scalelab-24-sl01-009-22-bb-wheels--1217313","ScaleLab_24","SL01-009","22" BB wheels","24","New tool","https://www.scalemates.com/products/img/3/1/3/1217313-51542-66","2019"
"/kits/perfect-scale-modellbau-a1005-diehl-828g-tracks-revell-s-kajapa-and-jaguar--1217301","Perfect Scale Modellbau","A1005","Diehl 828G Tracks for Revell´s KaJaPa and Jaguar","35","New tool","https://www.scalemates.com/products/img/3/0/1/1217301-11425-57","2019"
"/kits/paragrafix-modeling-systems-pgx220-eva-pod-photoetch-set--1217298","ParaGrafix Modeling Systems","PGX220","EVA Pod Photoetch Set","8","New tool","https://www.scalemates.com/products/img/2/9/8/1217298-20006-10","2019"
"/kits/wings-pegasus-me262-canopy-plug--1217217","Wings of Pegasus","","Me262 canopy plugfree download to print","72","New tool","https://www.scalemates.com/products/img/2/1/7/1217217-17841-78","2019"
"/kits/scalelab-24-sl02-010-1-20-photo-etch-f1-pitboard-including-letters--1217211","ScaleLab_24","SL02-010","1/20 Photo etch F1 Pitboard (including letters)","20","New tool","https://www.scalemates.com/products/img/2/1/1/1217211-51542-93","2019"
"/kits/scalelab-24-sl01-017-1-24-porsche-934-rsr-p-e-wheels--1217209","ScaleLab_24","SL01-017","1/24 Porsche 934 RSR P/E wheels","24","New tool","https://www.scalemates.com/products/img/2/0/9/1217209-51542-65","2019"
"/kits/scalelab-24-sl01-002-1-24-ff-hr-wheels--1217207","ScaleLab_24","SL01-002","1/24 FF_HR wheels","24","New tool","https://www.scalemates.com/products/img/2/0/7/1217207-51542-20","2019"
"/kits/sbs-model-48059-bristol-blenheim-mki-engine-and-cowling-set--1217198","SBS Model","48059","Bristol Blenheim MK.I (Engine and Cowling Set)","48","New tool","https://www.scalemates.com/products/img/1/9/8/1217198-15012-54","2019"
"/kits/scalelab-24-sl02-013-1-24-p-e-set-revell-porsche-panamera--1217184","ScaleLab_24","SL02-013","1/24 p/e set for Revell Porsche Panamera","24","New tool","https://www.scalemates.com/products/img/1/8/4/1217184-51542-87","2019"
"/kits/scalelab-24-sl02-012-photo-etch-parts-porsche-935-k2-77-drm-ver--1217182","ScaleLab_24","SL02-012","Photo Etch Parts for Porsche 935 K2 '77 DRM Ver.","24","New tool","https://www.scalemates.com/products/img/1/8/2/1217182-51542-47","2019"
"/kits/maxi-miniature-fr-066-alpine-renault-a110-1800--1217307","Maxi Miniature (FR)","066","Alpine-Renault A110 1800Côte Fleurie´18 #206 Lemoine/Jamet","43","none","https://www.scalemates.com/products/img/3/0/7/1217307-20545-68","2019"
"/kits/dadblues-db1804-bmw-m3-2298-wh-01-morel-btp--1217224","dadblues","DB1804","BMW M3 (2298 WH 01) "MOREL BTP"Lyon-Charbonnieres´03 #129 Morel/Dumontel","43","none","https://www.scalemates.com/products/img/2/2/4/1217224-20545-44","2018"
"/kits/dadblues-db180x-bmw-m3-8551-wwj-59-localuxe--1217219","dadblues","DB180x","BMW M3 (8551 WWJ 59) "LOCALUXE"Winner Lyon-Charbonnières´91 #4 Pignard/Berruyer","43","none","https://www.scalemates.com/products/img/2/1/9/1217219-20545-28","2018"
"/kits/dieselkits-dk16-005-rough-john--1217194","Dieselkits","DK16-005","Rough JohnSteampunk Boy","16","New tool","https://www.scalemates.com/products/img/1/9/4/1217194-50924-22","2019"
"/kits/dieselkits-dk16-004-dogmother--1217192","Dieselkits","DK16-004","DogmotherSteampunk Girl","16","New tool","https://www.scalemates.com/products/img/1/9/2/1217192-50924-84","2019"
